"crisis_code","where","iso3","year","era","candidate","r","log_lagged_gdppc","polity","currency_regime","exp","debt","gap_sum","guarantees_d","lending_d","capital_injections_d","restructuring_d","asset_management_d","rules_d","noi_d","other_d","chron_bvx","chron_lv","chron_rr","chron_st","n_chronologies","n_chron_clean","n_chron_3chron","n_chron_3chron_raw","maddison_priority","currency_regime_binary"
"ITA-1257","Genoa","ITA",1257,"pre1800",1,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NA
"GBR-1290","England","GBR",1290,"pre1800",1,0,NA,NA,NA,NA,NA,0.396649546391224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"ITA-1298","Siena","ITA",1298,"pre1800",1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA
"ESP-1299","Barcelona","ESP",1299,"pre1800",1,0,NA,NA,NA,NA,NA,0.0779472843623996,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
"ITA-1307","Siena","ITA",1307,"pre1800",1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
"BEL-1309","Bruges","BEL",1309,"pre1800",1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ITA-1309","Florence","ITA",1309,"pre1800",1,0,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA
"ITA-1312","Siena","ITA",1312,"pre1800",1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
"ITA-1326","Florence","ITA",1326,"pre1800",1,0,NA,NA,NA,NA,NA,-0.192227148621713,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
"ITA-1342","Florence","ITA",1342,"pre1800",1,0,NA,NA,NA,NA,NA,-0.534511409721203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
"BEL-1351","Bruges","BEL",1351,"pre1800",1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BEL-1359","Bruges","BEL",1359,"pre1800",1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ESP-1360","Barcelona","ESP",1360,"pre1800",1,0,NA,NA,NA,NA,NA,-0.0911787669811507,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
"BEL-1362","Bruges","BEL",1362,"pre1800",1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"BEL-1368","Bruges","BEL",1368,"pre1800",1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ITA-1370","Venice","ITA",1370,"pre1800",1,0,NA,NA,NA,NA,NA,-0.899764629987794,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA
